,Gene.Symbol,Protein.Id,Compartment,Swarup.Sharan,Ordureau.Alban,Park.Hankum,Itzhak.Daniel,Organism
10799,USP14,P54578,Large Protein Complex,0,0,0,1,human
11058,USP15,Q9Y4E8,Large Protein Complex,0,0,0,1,human
7250,USP16,Q9Y5T5,Nucleus,1,0,0,0,human
7251,USP19,O94966,ER,1,0,0,0,human
9784,USP19,O94966-7,Plasma membrane,0,0,0,1,human
7252,USP22,Q9UPT9,Nucleus,1,0,0,0,human
11198,USP24,Q9UPU5,Large Protein Complex,0,0,0,1,human
7253,USP26,Q9BXU7,Nucleus,1,0,0,0,human
7254,USP28,Q96RU2,Nucleus,1,0,0,0,human
7255,USP3,Q9Y6I4,Nucleus,1,0,0,0,human
7256,USP30,Q70CQ3,Mitochondria,1,0,0,0,human
7257,USP32,Q8NFA0,Golgi,1,0,0,0,human
9745,USP33,Q8TEY7,Plasma membrane,0,0,0,1,human
8537,USP36,Q9P275,Nucleus,0,1,0,0,human
7258,USP39,Q53GS9,Nucleus,1,0,0,0,human
8538,USP42,Q9H9J4,Nucleus,0,1,0,0,human
10485,USP43,Q70EL4,Large Protein Complex,0,0,0,1,human
7259,USP44,Q9H0E7,Nucleus,1,0,0,0,human
9453,USP46,P62068-2,Ergic/cisGolgi,0,0,0,1,human
7260,USP47,Q96K76,Cytoplasm,1,0,0,0,human
11351,USP47,Q96K76-4,Large Protein Complex,0,0,0,1,human
7261,USP49,Q70CQ1,Nucleus,1,0,0,0,human
11352,USP5,P45974,Large Protein Complex,0,0,0,1,human
7262,USP6NL,Q92738,Golgi,1,0,0,0,human
10486,USP7,Q93009,Large Protein Complex,0,0,0,1,human
9215,USP8,P40818,Endosome,0,0,0,1,human
10487,USP9X,Q93008,Large Protein Complex,0,0,0,1,human
7263,USP9Y,O00507,Cytoplasm,1,0,0,0,human
7264,USPL1,Q5W0Q7,Nucleus,1,0,0,0,human
7265,UST,Q9Y2C2,Golgi,1,0,0,0,human
7266,UTF1,Q5T230,Nucleus,1,0,0,0,human
7267,UTP11,Q9Y3A2,Nucleus,1,0,0,0,human
7268,UTP14A,Q9BVJ6,Nucleus,1,0,0,0,human
7269,UTP14C,Q5TAP6,Nucleus,1,0,0,0,human
7270,UTP15,Q8TED0,Nucleus,1,0,0,0,human
7271,UTP18,Q9Y5J1,Nucleus,1,0,0,0,human
7272,UTP20,O75691,Nucleus,1,0,0,0,human
7273,UTP23,Q9BRU9,Nucleus,1,0,0,0,human
7274,UTP3,Q9NQZ2,Nucleus,1,0,0,0,human
7275,UTP4,Q969X6,Nucleus,1,0,0,0,human
7276,UTP6,Q9NYH9,Nucleus,1,0,0,0,human
8131,UTRN,P46939,Actin binding proteins,0,1,0,0,human
9300,UTS2,O95399,ER,0,0,0,1,human
7277,UTS2R,Q9UKP6,Plasma membrane,1,0,0,0,human
7278,UTY,O14607,Nucleus,1,0,0,0,human
8192,UVRAG,Q9P2Y5,Endosome,0,1,0,0,human
7279,UXS1,Q8NBZ7,Golgi,1,0,0,0,human
10488,UXT,Q9UBK9,Large Protein Complex,0,0,0,1,human
7280,VAC14,Q08AM6,Endosome,1,0,0,0,human
9112,VAMP2,P63027,Endosome,0,0,1,0,human
9125,VAMP3,Q15836,Endosome,0,0,1,0,human
9121,VAMP4,O75379,Endosome,0,0,1,0,human
